name,aff_no,state,district,address,pincode,ph_no,email,website,status
PARAM POOJYA SHREE RAMKRISHNA SARASWATI GURUKUL,1130144,MAHARASHTRA,JALGAON,"AT-UMALE, POST-DHANWAD,",425003,01482,gurukuljal@sancharnet.in,,Middle Class
RANI PUBLIC SCHOOL,930205,KERALA,KOZHIKODE,"PO CHORODE VIA VADAKARA DISTT KOZHIKODE, KERALA",673106,0496,principalrani@gmail.com,,Senior Secondary
MANAV SEHYOG SCHOOL,1630448,PUNJAB,JULLUNDUR,"VILLAGE SHAHPUR , V.P.O. UDOPUR , VIA JAMSHER , JALANDHAR PUNJAB",144026,0181,rajnineeraj_sharma@yahoo.com,,Senior Secondary
GOVT BOYS SR SEC SCHOOL,2752028,DELHI,,(CHANDER NAGAR) C BLOCK KRISHAN NAGAR DELHI,110051,011,chandernagar07@gmail.com,,Senior Secondary
"GOVT. SEC. SCHOOL, GANGA P.O",2220160,ARUNACHAL PRADESH,PAPUMPARA,"RK MISSION, ITANAGAGAR DIST. PAPUMPARE, ARUNACHAL PRADESH",791113,0360,mokirkamki@gmail.com,,Senior Secondary
ST. V.S. PUBLIC SCHOOL,2132343,UTTAR PRADESH,AGRA,"C-2, SHASTRI PURAM AGRA",282007,,svsps2013@gmail.com,http://www.svsps.com,Secondary School
DAV PUBLIC SCHOOL,330018,BIHAR,PATNA,CANTT ROAD KHAGAUL CAMPUS PATNA BIHAR,801105,06224,rroy2510@gmail.com,,Senior Secondary
SHEMROCK JAGAT SR SEC SCHOOL,2730281,DELHI,,GURU HAR KRISHAN NAGAR PASCHIM VIHAR NEW DELHI,110087,,,,Senior Secondary
GREEN VALLEY SCHOOL,1030210,MADHYA PRADESH,BHOPAL,KOLAR ROAD BHOPAL MADHYA PRADESH,462042,0755,meenayadav231@gmail.com,http://www.greenvalleybhopal.in,Senior Secondary
BOKARO PUBLIC SCHOOL,3430197,JHARKHAND,BOKARO,SECTOR 3-C BOKARO STEEL CITY DISTT BOKARO JHARKHAND,827003,06542,shekhar.sudha.01@gmail.com,http://www.bokaropublicsc,Senior Secondary
SOUTH POINT PUBLIC SCHOOL,530469,HARYANA,SONEPAT,PURKHAS ROAD NEAR SUGAR MILL RLY CROSSING SONEPAT HARYANA,131001,0130,southpoint9@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA,1700018,RAJASTHAN,,SRI GANGANAGAR CANTT RAJASTHAN,335001,,kvsgnr@rediffmail.com,,Senior Secondary
CHRIST INTERNATIONAL SCHOLL,1130499,MAHARASHTRA,LATUR,"SURVEY NO. 41, TALEGOAN VILLAGE, LATUR - NANDED HIGH WAY, AHMEDPUR,",413515,,jeevan.maddewad@gmail.com,http://www.christinternationalschool.in,Senior Secondary
NRI PUBLIC SCHOOL,1630822,PUNJAB,ROPAR,"MUBARIKPUR - BARWALA ROAD VILLAGE SUNDRAN TEHSIL DERA BASSI
DISTRICT MOHALI",140201,,poojaaroradb@gmail.com,,Senior Secondary
AISHWARAYA PUBLIC SCHOOL,930557,KERALA,KOLLAM,KALAKKODE POOTHAKULAM PO KOLLAM DISTT KERALA,691302,0484,apskalakkode@yahoo.com,,Senior Secondary
NEW PRATHAM PUBLIC SCHOOL,830770,KARNATAKA,BANGALORE,"NO. 3, 2ND CROSS, 2ND MAIN,PAI LAYOUT, K R PURAM, BANGALORE-560016",560016,,kjrnpps@gmail.com,http://newprathampublicschool.org,Secondary School
JYOTI MODEL SCHOOL,2730550,DELHI,,"C - 18 ,  ACHARYA KRIPLANI ROAD",110033,0522,thegulatizone@gmail.com,,Secondary School
S.B.I.SCHOOL,2132804,UTTAR PRADESH,GAUTAM BUDH NAGAR,VILL BAGPUR POST BILASPUR,203202,,s.b.i.school123@gmail.com,,Secondary School
NATIONAL CONVENT ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,3330107,CHATTISGARH,DURG,"BHILAI - 3 , UMDA ROAD .P.O-BHILAI, DISTT DURG, CHHATTISGARH",491001,,lipika.chatterjee2010@gmail.com,,Senior Secondary
THE KRISHNA VALLEY SCHOOL,1030583,MADHYA PRADESH,RAISEN,"VILL-BAMULIYA GAJJU, PIPALIYA ROAD",464990,0755,davis_kadambatt@yahoo.com,,Secondary School
AL-NOOR INTERNATIONAL SCHOOL,5230004,FOREIGN SCHOOLS,BAHRAIN,P.O. BOX 85 MANAMA BAHRAIN,,00973,ganeshha@batelco.com.bh,,Senior Secondary
SESOMU SCHOOL,1730187,RAJASTHAN,BIKANER,NATIONAL HIGHWAY NO 11 W SRI DUNGARGARH BIKANER RAJASTHAN,331803,01565,principal@sesomu.org,http://www.sesomu.org/,Senior Secondary
ODISHA ADARSHA VIDYALAYA,1520105,ODISHA,,"AT/PO: BHAINSA, BLOCK-PATNAGARH, DISTT. BALANGIR 767 048 , ODISHA",,,,,Secondary School
